0.97, 0.14, 0.46
0.41, 0.63, 0.16
0.87, 0.33, 0.73
0.89, 0.68, 0.66
0.65, 0.64, 0.19
0.26, 0.95, 0.55
0.54, 0.34, 0.44
0.90, 0.08, 0.03
0.15, 0.49, 0.14
0.22, 0.85, 0.65
0.71, 0.12, 0.49
0.10, 0.20, 0.64
0.71, 0.23, 0.04
0.45, 0.95, 0.16
0.71, 0.95, 0.01
0.37, 0.20, 0.53
0.23, 0.87, 0.58
0.21, 0.40, 0.54
0.99, 0.38, 0.51
0.72, 0.72, 0.99
0.18, 0.90, 0.77
0.53, 0.85, 0.48
0.89, 0.85, 0.35
0.88, 0.34, 0.33
0.40, 0.48, 0.56
0.30, 0.67, 0.59
0.57, 0.12, 0.35
0.18, 0.34, 0.58
0.78, 0.91, 0.02
0.02, 0.57, 0.69
0.70, 0.53, 0.49
0.23, 0.18, 0.53
0.43, 0.56, 0.96
0.48, 0.66, 0.57
0.30, 0.54, 0.75
0.63, 0.43, 0.77
0.84, 0.79, 0.16
0.62, 0.06, 0.65
0.92, 0.02, 0.28
0.22, 0.61, 0.43
0.57, 0.71, 0.69
0.94, 0.61, 0.88
0.23, 0.13, 0.86
0.85, 0.03, 0.47
0.77, 0.10, 0.78
0.34, 0.11, 0.41
0.31, 0.12, 0.00
0.25, 0.74, 0.16
0.21, 0.51, 0.04
0.42, 0.06, 0.97
0.62, 0.61, 0.82
0.94, 0.55, 0.60
0.81, 0.22, 0.33
0.83, 0.51, 0.44
0.66, 0.53, 0.88
0.12, 0.91, 0.36
0.90, 0.93, 0.07
0.92, 0.82, 0.99
0.86, 0.94, 0.08
0.42, 0.89, 0.18
0.71, 0.59, 0.43
0.37, 0.02, 0.73
0.38, 0.20, 0.71
0.01, 0.75, 0.66
0.94, 0.50, 0.08
0.51, 0.67, 0.02
0.48, 0.73, 0.32
0.32, 0.73, 0.40
0.81, 0.76, 0.27
0.97, 0.96, 0.77
0.82, 0.94, 0.08
0.92, 0.91, 0.07
0.34, 0.35, 0.87
0.80, 0.70, 0.78
0.90, 0.88, 0.70
0.12, 0.48, 0.67
0.11, 0.84, 0.29
0.04, 0.01, 0.86
0.18, 0.59, 0.76
0.63, 0.12, 0.51
0.70, 0.53, 0.46
0.76, 0.60, 0.99
0.63, 0.74, 0.37
0.14, 0.32, 0.27
0.59, 0.28, 0.82
0.59, 0.98, 0.16
0.02, 0.97, 1.00
0.08, 0.93, 0.38
0.37, 0.42, 0.07
0.06, 0.72, 0.78
0.96, 0.50, 0.17
0.22, 0.93, 0.35
0.58, 0.26, 0.41
0.12, 0.20, 0.47
0.53, 0.46, 0.55
0.20, 0.23, 0.58
0.13, 0.90, 0.08
0.09, 0.68, 0.70
0.64, 0.82, 0.13
0.08, 0.91, 0.88
