0.600, 0.145, 0.389, 0.817
0.255, 0.454, 0.573, 0.220
0.042, 0.865, 0.065, 0.252
0.549, 0.975, 0.945, 0.843
0.047, 0.224, 0.257, 0.400
0.398, 0.407, 0.396, 0.543
0.368, 0.294, 0.681, 0.333
0.633, 0.922, 0.665, 0.093
0.526, 0.679, 0.521, 0.544
0.635, 0.911, 0.776, 0.604
0.863, 0.181, 0.905, 0.697
0.188, 0.957, 0.542, 0.132
0.448, 0.399, 0.564, 0.810
0.120, 0.751, 0.336, 0.436
0.704, 0.258, 0.599, 0.705
0.196, 0.873, 0.070, 0.433
0.798, 0.378, 0.064, 0.405
0.270, 0.734, 0.321, 0.068
0.647, 0.752, 0.869, 0.676
0.880, 0.247, 0.003, 0.642
0.021, 0.863, 0.324, 0.569
0.146, 0.990, 0.428, 0.863
0.362, 0.004, 0.665, 0.576
0.051, 0.912, 0.719, 0.064
0.071, 0.279, 0.495, 0.901
0.620, 0.760, 0.342, 0.408
0.150, 0.493, 0.023, 0.906
0.548, 0.237, 0.129, 0.856
0.116, 0.755, 0.454, 0.426
0.745, 0.399, 0.103, 0.549
0.196, 0.770, 0.757, 0.266
0.492, 0.945, 0.606, 0.010
0.618, 0.565, 0.057, 0.900
0.786, 0.452, 0.688, 0.580
0.434, 0.224, 0.085, 0.387
0.813, 0.187, 0.604, 0.952
0.456, 0.995, 0.308, 0.359
0.819, 0.811, 0.172, 0.816
0.786, 0.434, 0.387, 0.648
0.553, 0.530, 0.074, 0.622
0.661, 0.028, 0.938, 0.303
0.924, 0.259, 0.218, 0.972
0.089, 0.631, 0.774, 0.938
0.559, 0.487, 0.403, 0.252
0.450, 0.695, 0.866, 0.824
0.374, 0.264, 0.968, 0.505
0.663, 0.125, 0.664, 0.026
0.691, 0.282, 0.678, 0.539
0.807, 0.608, 0.453, 0.544
0.315, 0.973, 0.673, 0.086
0.634, 0.329, 0.624, 0.467
0.153, 0.502, 0.134, 0.179
0.632, 0.337, 0.693, 0.580
0.830, 0.001, 0.184, 0.994
0.248, 0.951, 0.588, 0.189
0.810, 0.266, 0.693, 0.460
0.769, 0.459, 0.471, 0.631
0.192, 0.860, 0.017, 0.547
0.655, 0.095, 0.747, 0.029
0.431, 0.882, 0.039, 0.447
0.470, 0.407, 0.158, 0.397
0.531, 0.528, 0.683, 0.627
0.893, 0.060, 0.117, 0.439
0.269, 0.613, 0.178, 0.939
0.188, 0.614, 0.401, 0.440
0.593, 0.578, 0.191, 0.266
0.469, 0.876, 0.138, 0.291
0.921, 0.836, 0.287, 0.421
0.013, 0.361, 0.949, 0.418
0.563, 0.484, 0.067, 0.401
0.276, 0.074, 0.638, 0.983
0.211, 0.691, 0.319, 0.909
0.143, 0.948, 0.746, 0.400
0.175, 0.112, 0.823, 0.494
0.843, 0.336, 0.104, 0.024
0.840, 0.690, 0.055, 0.633
0.450, 0.421, 0.425, 0.019
0.643, 0.526, 0.582, 0.415
0.381, 0.375, 0.685, 0.305
0.235, 0.886, 0.786, 0.483
0.158, 0.879, 0.306, 0.869
0.036, 0.718, 0.634, 0.857
0.818, 0.256, 0.372, 0.219
0.926, 0.024, 0.318, 0.649
0.001, 0.364, 0.172, 0.062
0.426, 0.885, 0.904, 0.811
0.154, 0.720, 0.677, 0.415
0.098, 0.917, 0.779, 0.542
0.065, 0.006, 0.606, 0.750
0.803, 0.997, 0.812, 0.070
0.806, 0.318, 0.764, 0.279
0.156, 0.742, 0.617, 0.172
0.611, 0.963, 0.826, 0.015
0.792, 0.714, 0.400, 0.434
0.639, 0.554, 0.887, 0.229
0.725, 0.302, 0.597, 0.988
0.188, 0.531, 0.448, 0.729
0.959, 0.273, 0.051, 0.013
0.570, 0.328, 0.218, 0.648
0.723, 0.459, 0.659, 0.744
